dataset,area,sex,ICCC,graph,year,age_group,measure,value_text
CYPC,British Columbia,1,40,L,2023,E,4,
CYPC,British Columbia,1,40,L,2023,S,1,<5
CYPC,British Columbia,1,40,L,2023,S,2,15
CYPC,British Columbia,1,40,L,2023,S,5,
CYPC,British Columbia,1,40,L,2023,S,6,10.26
CYPC,British Columbia,1,41,L,2023,B,1,<5
CYPC,British Columbia,1,41,L,2023,B,2,10
CYPC,British Columbia,1,41,L,2023,B,3,
CYPC,British Columbia,1,41,L,2023,B,4,90.94
CYPC,British Columbia,1,41,L,2023,C,1,<5
CYPC,British Columbia,1,41,L,2023,C,2,5
CYPC,British Columbia,1,41,L,2023,C,3,
CYPC,British Columbia,1,41,L,2023,C,4,10.67
CYPC,British Columbia,1,41,L,2023,D,1,<5
CYPC,British Columbia,1,41,L,2023,D,2,<5
CYPC,British Columbia,1,41,L,2023,D,3,
CYPC,British Columbia,1,41,L,2023,D,4,
CYPC,British Columbia,1,41,L,2023,E,1,<5
CYPC,British Columbia,1,41,L,2023,E,2,<5
CYPC,British Columbia,1,41,L,2023,E,3,
CYPC,British Columbia,1,41,L,2023,E,4,
CYPC,British Columbia,1,41,L,2023,S,1,<5
CYPC,British Columbia,1,41,L,2023,S,2,20
CYPC,British Columbia,1,41,L,2023,S,5,
CYPC,British Columbia,1,41,L,2023,S,6,10.26
CYPC,British Columbia,1,42,L,2023,B,1,<5
CYPC,British Columbia,1,42,L,2023,B,2,<5
CYPC,British Columbia,1,42,L,2023,B,3,
CYPC,British Columbia,1,42,L,2023,B,4,
CYPC,British Columbia,1,42,L,2023,C,1,<5
CYPC,British Columbia,1,42,L,2023,C,2,<5
CYPC,British Columbia,1,42,L,2023,C,3,
CYPC,British Columbia,1,42,L,2023,C,4,
CYPC,British Columbia,1,42,L,2023,D,1,<5
CYPC,British Columbia,1,42,L,2023,D,2,<5
CYPC,British Columbia,1,42,L,2023,D,3,
CYPC,British Columbia,1,42,L,2023,D,4,
CYPC,British Columbia,1,42,L,2023,E,1,<5
CYPC,British Columbia,1,42,L,2023,E,2,<5
CYPC,British Columbia,1,42,L,2023,E,3,
CYPC,British Columbia,1,42,L,2023,E,4,
CYPC,British Columbia,1,42,L,2023,S,1,<5
CYPC,British Columbia,1,42,L,2023,S,2,<5
CYPC,British Columbia,1,42,L,2023,S,5,
CYPC,British Columbia,1,42,L,2023,S,6,
CYPC,British Columbia,1,50,L,2023,B,1,<5
CYPC,British Columbia,1,50,L,2023,B,2,<5
CYPC,British Columbia,1,50,L,2023,B,3,
CYPC,British Columbia,1,50,L,2023,B,4,
CYPC,British Columbia,1,50,L,2023,C,1,<5
CYPC,British Columbia,1,50,L,2023,C,2,5
CYPC,British Columbia,1,50,L,2023,C,3,
CYPC,British Columbia,1,50,L,2023,C,4,10.67
CYPC,British Columbia,1,50,L,2023,D,1,<5
CYPC,British Columbia,1,50,L,2023,D,2,<5
CYPC,British Columbia,1,50,L,2023,D,3,
CYPC,British Columbia,1,50,L,2023,D,4,
CYPC,British Columbia,1,50,L,2023,E,1,<5
CYPC,British Columbia,1,50,L,2023,E,2,<5
CYPC,British Columbia,1,50,L,2023,E,3,
CYPC,British Columbia,1,50,L,2023,E,4,
CYPC,British Columbia,1,50,L,2023,S,1,<5
CYPC,British Columbia,1,50,L,2023,S,2,10
CYPC,British Columbia,1,50,L,2023,S,5,
CYPC,British Columbia,1,50,L,2023,S,6,4.32
CYPC,British Columbia,1,60,L,2023,B,1,<5
CYPC,British Columbia,1,60,L,2023,B,2,<5
CYPC,British Columbia,1,60,L,2023,B,3,
CYPC,British Columbia,1,60,L,2023,B,4,
CYPC,British Columbia,1,60,L,2023,C,1,<5
CYPC,British Columbia,1,60,L,2023,C,2,10
CYPC,British Columbia,1,60,L,2023,C,3,
CYPC,British Columbia,1,60,L,2023,C,4,21.34
CYPC,British Columbia,1,60,L,2023,D,1,<5
CYPC,British Columbia,1,60,L,2023,D,2,<5
CYPC,British Columbia,1,60,L,2023,D,3,
CYPC,British Columbia,1,60,L,2023,D,4,
CYPC,British Columbia,1,60,L,2023,E,1,<5
CYPC,British Columbia,1,60,L,2023,E,2,<5
CYPC,British Columbia,1,60,L,2023,E,3,
CYPC,British Columbia,1,60,L,2023,E,4,
CYPC,British Columbia,1,60,L,2023,S,1,<5
CYPC,British Columbia,1,60,L,2023,S,2,10
CYPC,British Columbia,1,60,L,2023,S,5,
CYPC,British Columbia,1,60,L,2023,S,6,6.47
CYPC,British Columbia,1,61,L,2023,B,1,<5
CYPC,British Columbia,1,61,L,2023,B,2,<5
CYPC,British Columbia,1,61,L,2023,B,3,
CYPC,British Columbia,1,61,L,2023,B,4,
CYPC,British Columbia,1,61,L,2023,C,1,<5
CYPC,British Columbia,1,61,L,2023,C,2,5
CYPC,British Columbia,1,61,L,2023,C,3,
CYPC,British Columbia,1,61,L,2023,C,4,10.67
CYPC,British Columbia,1,61,L,2023,D,1,<5
CYPC,British Columbia,1,61,L,2023,D,2,<5
CYPC,British Columbia,1,61,L,2023,D,3,
CYPC,British Columbia,1,61,L,2023,D,4,
CYPC,British Columbia,1,61,L,2023,E,1,<5
CYPC,British Columbia,1,61,L,2023,E,2,<5
CYPC,British Columbia,1,61,L,2023,E,3,
CYPC,British Columbia,1,61,L,2023,E,4,
CYPC,British Columbia,1,61,L,2023,S,1,<5
CYPC,British Columbia,1,61,L,2023,S,2,15
CYPC,British Columbia,1,61,L,2023,S,5,
CYPC,British Columbia,1,61,L,2023,S,6,6.47
CYPC,British Columbia,1,62,L,2023,B,1,<5
CYPC,British Columbia,1,62,L,2023,B,2,<5
CYPC,British Columbia,1,62,L,2023,B,3,
CYPC,British Columbia,1,62,L,2023,B,4,
CYPC,British Columbia,1,62,L,2023,C,1,<5
CYPC,British Columbia,1,62,L,2023,C,2,<5
CYPC,British Columbia,1,62,L,2023,C,3,
